"sid","sinc","dept","scode","stitle","pcode","sem","ord","tp","part","sbatch","credits","my","totmax","ciamax","seemax","tstatus","valcode","facid","OMR"
"586","0","ZOO","23ZOMDL201","HEALTH AND HYGIENE","11","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3109","0"
"587","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","11","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"588","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","11","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"589","0","COM","23COMAL231","BANKING THEORY & PRACTICE","21","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"3080","0"
"590","0","COM","23COMAL232","INCOME TAX","21","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"2038","0"
"591","0","COM","23COMAL233","ADVANCED ACCOUNTING","21","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"3100","0"
"592","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","21","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"2035","0"
"593","0","COM","23IMMIL231","GENERAL INSURANCE WITH PRACTICE","21","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3117","0"
"594","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","21","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3166","0"
"595","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","21","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2003","0"
"596","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","21","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2003","0"
"597","0","CSC","23CAMAL231","E COMMERCE AND WEB DESIGNING","22","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3115","0"
"598","0","COM","23COMAL232","INCOME TAX","22","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3098","0"
"599","0","COM","23COMAL233","ADVANCED ACCOUNTING","22","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3120","0"
"600","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","22","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"2040","0"
"601","0","COM","23DMMIL231","DIGITAL MARKETING ","22","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"2044","0"
"602","0","CSC","23CAMAP231","E COMMERCE AND WEB DESIGNING LAB","22","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3115","0"
"603","0","COM","23COMAP232","INCOME TAX LAB","22","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"0","0"
"604","0","COM","23COMAP233","ADVANCED ACCOUNTING LAB","22","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3165","0"
"605","0","COM","23COMAP234","COST AND MANAGEMENT ACCOUNTING LAB","22","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"2040","0"
"606","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","22","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3166","0"
"607","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","22","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3099","0"
"608","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","22","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3099","0"
"609","0","CSC","23CAMAL231","E COMMERCE AND WEB DESIGNING","23","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3041","0"
"610","0","COM","23COMAL232","INCOME TAX","23","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3120","0"
"611","0","COM","23COMAL233","ADVANCED ACCOUNTING","23","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3098","0"
"612","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","23","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3100","0"
"613","0","COM","23DMMIL231","DIGITAL MARKETING ","23","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3025","0"
"614","0","CSC","23CAMAP231","E COMMERCE AND WEB DESIGNING LAB","23","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3041","0"
"615","0","COM","23COMAP232","INCOME TAX LAB","23","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"0","0"
"616","0","COM","23COMAP233","ADVANCED ACCOUNTING LAB","23","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3098","0"
"617","0","COM","23COMAP234","COST AND MANAGEMENT ACCOUNTING LAB","23","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3025","0"
"618","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","23","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3166","0"
"619","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","23","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3099","0"
"620","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","23","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3099","0"
"621","0","CSC","23CAMAL231","E COMMERCE AND WEB DESIGNING","24","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3041","0"
"622","0","COM","23COMAL232","INCOME TAX","24","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"2040","0"
"623","0","COM","23COMAL233","ADVANCED ACCOUNTING","24","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3100","0"
"624","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","24","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"2044","0"
"625","0","COM","23DMMIL231","DIGITAL MARKETING ","24","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3025","0"
"626","0","CSC","23CAMAP231","E COMMERCE AND WEB DESIGNING LAB","24","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3041","0"
"627","0","COM","23COMAP232","INCOME TAX LAB","24","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"0","0"
"628","0","COM","23COMAP233","ADVANCED ACCOUNTING LAB","24","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3152","0"
"629","0","COM","23COMAP234","COST AND MANAGEMENT ACCOUNTING LAB","24","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"2044","0"
"630","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","24","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3166","0"
"631","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","24","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2001","0"
"632","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","24","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2001","0"
"633","0","COM","23TPMAL231","INCOME TAX -I","25","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"3055","0"
"634","0","COM","23TPMAL232","FUNDAMENTALS OF GST","25","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"2041","0"
"635","0","COM","23COMAL233","ADVANCED ACCOUNTING","25","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"3047","0"
"636","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","25","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"2035","0"
"637","0","COM","23FIMIL231","FUNDAMENTALS OF FINANCIAL MANAGEMENT","25","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3048","0"
"638","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","25","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3059","0"
"639","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","25","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2003","0"
"640","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","25","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2003","0"
"641","0","COM","23FIMAL231","FINANCIAL MANAGEMENT","26","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"3152","0"
"642","0","COM","23FIMAL232","INDIAN FINANCIAL SYSTEM","26","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"3100","0"
"643","0","COM","23COMAL233","ADVANCED ACCOUNTING","26","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"3116","0"
"644","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","26","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"2041","0"
"645","0","COM","23TXMIL231","INCOME TAX-I","26","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3047","0"
"646","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","26","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3079","0"
"647","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","26","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3087","0"
"648","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","26","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3087","0"
"649","0","COM","23BPMAL231","INSURANCE FOR BUSINESS PROCESS SERVICES","27","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"2038","0"
"650","0","COM","23BPMAL232","MANAGING BUSINESS PROCESSES-I","27","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"3048","0"
"651","0","COM","23COMAL233","ADVANCED ACCOUNTING","27","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"3047","0"
"652","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","27","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"2035","0"
"653","0","COM","23FIMIL231","FUNDAMENTALS OF FINANCIAL MANAGEMENT","27","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3048","0"
"654","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","27","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3059","0"
"655","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","27","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2003","0"
"656","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","27","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2003","0"
"657","0","COM","23BKMAL231","INNOVATIONS IN BANKING AND INSURANCE ","28","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"3117","0"
"658","0","COM","23BKMAL232","CORPORATE BANKING ","28","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"3029","0"
"659","0","COM","23COMAL233","ADVANCED ACCOUNTING","28","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"2036","0"
"660","0","COM","23COMAL234","COST AND MANAGEMENT ACCOUNTING","28","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"3055","0"
"661","0","COM","23IMMIL231","GENERAL INSURANCE WITH PRACTICE","28","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3116","0"
"662","0","STA","23STMDL201","APPLIED STATISTICAL ANALYSIS","28","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3059","0"
"663","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","28","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3027","0"
"664","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","28","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3027","0"
"665","0","MGT","23MGMAL231","BUSINESS LAWS","31","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"2034","0"
"666","0","MGT","23MGMAL232","ORGANIZATIONAL BEHAVIOUR","31","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"2032","0"
"667","0","MGT","23MGMAL233","BUSINESS ENVIRONMENT","31","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"3094","0"
"668","0","STA","23STMAL237","ESSENTIAL STATISTICS FOR BUSINESS MANAGEMENT","31","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3079","0"
"669","0","MGT","23FMMIL231","MANAGEMENT ACCOUNTING FOR DECISION MAKING","31","3","9","T","2","2024","4","NOV-2025","100","30","70","0",,"3094","0"
"670","0","STA","23STMAP237","EXCEL BASED STATISTICS FOR BUSINESS MANAGEMENT LAB","31","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3079","0"
"671","0","ANA","23ANMDP201","DATA VISUALIZATION LAB","31","3","15","L","3","2024","2","NOV-2025","50","15","35","0",,"3132","0"
"672","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","31","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"673","0","MAT","23MASDL202","REASONING","31","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"674","0","MGT","23MGMAL231","BUSINESS LAWS","32","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"2034","0"
"675","0","MGT","23MGMAL232","ORGANIZATIONAL BEHAVIOUR","32","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"2032","0"
"676","0","MGT","23MGMAL233","BUSINESS ENVIRONMENT","32","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"3094","0"
"677","0","STA","23STMAL237","ESSENTIAL STATISTICS FOR BUSINESS MANAGEMENT","32","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3119","0"
"678","0","STA","23STMIL234","FOUNDATIONS OF PROBABILITY AND STATISTICAL DISTRIBUTIONS WITH APPLICATIONS","32","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3059","0"
"679","0","STA","23STMAP237","EXCEL BASED STATISTICS FOR BUSINESS MANAGEMENT LAB","32","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3079","0"
"680","0","STA","23STMIP234","STATISTICAL ANALYSIS USING SPSS - PROBABILITY CONCEPTS TO HYPOTHESIS TESTING LAB","32","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3059","0"
"681","0","ANA","23ANMDP201","DATA VISUALIZATION  LAB","32","3","15","L","3","2024","2","NOV-2025","50","15","35","0",,"3132","0"
"682","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","32","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"683","0","MAT","23MASDL202","REASONING","32","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"684","0","ANA","23ANMAL231","HUMAN RESOURCE MANAGEMENT","33","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"3037","0"
"685","0","ANA","23ANMAL232","FINANCIAL MANAGEMENT","33","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"3037","0"
"686","0","ANA","23ANMAL233","MARKETING ANALYTICS","33","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3096","0"
"687","0","ANA","23ANMAL234","BUSINESS RESEARCH METHODS ","33","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3078","0"
"688","0","STA","23STMIL233","RANDOM VARIABLES AND PROBABILITY DISTRIBUTIONS","33","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3079","0"
"689","0","ANA","23ANMAP233","MARKETING ANALYTICS  LAB","33","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3096","0"
"690","0","ANA","23ANMAP234","STATISTICAL DATA ANALYSIS USING JASP LAB","33","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3078","0"
"691","0","STA","23STMIP233","STATISTICAL DATA ANALYSIS USING SPSS LAB-I","33","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3079","0"
"692","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","33","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"693","0","MAT","23MASDL202","REASONING","33","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"694","0","ANA","23ANVAL201","DIGITAL MARKEING","33","3","25","E","4","2024","2","NOV-2025","50","15","35","0",,"0","0"
"695","0","CSC","23BCMAL231","DATA STRUCTURES","41","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3062","0"
"696","0","CSC","23BCMAL232","DATABASE MANAGEMENT SYSTEMS","41","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"2022","0"
"697","0","CSC","23BCMAL233","OBJECT ORIENTED PROGRAMMING USING JAVA","41","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"2020","0"
"698","0","CSC","23BCMAL234","SOFTWARE ENGINEERING","41","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3112","0"
"699","0","CSC","23CYMIL231","CRYPTOGRAPHY AND NETWORK SECURITY","41","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"2028","0"
"700","0","CSC","23BCMAP231","DATA STRUCTURES LAB","41","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3062","0"
"701","0","CSC","23BCMAP232","DATABASE MANAGEMENT SYSTEMS LAB","41","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"2022","0"
"702","0","CSC","23BCMAP233","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","41","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3113","0"
"703","0","CSC","23BCMAP234","SOFTWARE ENGINEERING LAB","41","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3112","0"
"704","0","CSC","23CYMIP231","CRYPTOGRAPHY AND NETWORK SECURITY LAB","41","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"2028","0"
"705","0","STA","23STMDL202","PROBABILITY  AND RANDOM VARIABLES FOR COMPUTER APPLICATIONS","41","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3079","0"
"706","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","41","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3082","0"
"707","0","MAT","23MASDL202","REASONING","41","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3082","0"
"708","0","CSC","23BCMAL231","DATA STRUCTURES","42","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3021","0"
"709","0","CSC","23BCMAL232","DATABASE MANAGEMENT SYSTEMS","42","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"2027","0"
"710","0","CSC","23BCMAL233","OBJECT ORIENTED PROGRAMMING USING JAVA","42","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3153","0"
"711","0","CSC","23BCMAL234","SOFTWARE ENGINEERING","42","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3113","0"
"712","0","DSAI","23DAMIL231","PYTHON FOR DATA ANALYSIS","42","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3172","0"
"713","0","CSC","23BCMAP231","DATA STRUCTURES LAB","42","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3021","0"
"714","0","CSC","23BCMAP232","DATABASE MANAGEMENT SYSTEMS LAB","42","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"2027","0"
"715","0","CSC","23BCMAP233","OBJECT ORIENTED PROGRAMMING USING JAVA LAB","42","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3153","0"
"716","0","CSC","23BCMAP234","SOFTWARE ENGINEERING LAB","42","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3113","0"
"717","0","DSAI","23DAMIP231","PYTHON  FOR DATA ANALYSIS LAB","42","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3172","0"
"718","0","STA","23STMDL202","PROBABILITY  AND RANDOM VARIABLES FOR COMPUTER APPLICATIONS","42","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3079","0"
"719","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","42","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3082","0"
"720","0","MAT","23MASDL202","REASONING","42","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3082","0"
"721","0","BOT","23BOMAL231","VASCULAR PLANTS (PTERIDOPHYTES, GYMNOSPERMS AND TAXONOMY OF ANGIOSPERMS)","51","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3068","0"
"722","0","BOT","23BOMAL232","PLANT PATHOLOGY AND PLANT DISEASES","51","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3068","0"
"723","0","BOT","23BOMAL233","PLANT BREEDING","51","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"2048","0"
"724","0","BOT","23BOMAL234","PLANT BIOTECHNOLOGY","51","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"2048","0"
"725","0","CHE","23CHMIL231","FUNDAMENTALS IN ORGANIC CHEMISTRY","51","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"2060","0"
"726","0","BOT","23BOMAP231","VASCULAR PLANTS (PTERIDOPHYTES, GYMNOSPERMS AND TAXONOMY OF ANGIOSPERMS) LAB","51","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3068","0"
"727","0","BOT","23BOMAP232","PLANT PATHOLOGY AND PLANT DISEASES LAB","51","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3068","0"
"728","0","BOT","23BOMAP233","PLANT BREEDING LAB","51","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"2048","0"
"729","0","BOT","23BOMAP234","PLANT BIOTECHNOLOGY LAB","51","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"2048","0"
"730","0","CHE","23CHMIP231","ORGANIC QUALITATIVE ANALYSIS LAB","51","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"2060","0"
"731","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING","51","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"2041","0"
"732","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","51","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3054","0"
"733","0","MAT","23MASDL202","REASONING","51","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3054","0"
"734","0","ZOO","23ZOMAL231","ANIMAL DIVERSITY-II, BIOLOGY OF CHORDATES","52","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"3109","0"
"735","0","ZOO","23ZOMAL232","PRINCIPLES OF GENETICS","52","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3109","0"
"736","0","ZOO","23ZOMAL233","ANIMAL BIOTECHNOLOGY ","52","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"3032","0"
"737","0","ZOO","23ZOMAL234","EVOLUTION AND ZOOGEOGRAPHY","52","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3032","0"
"738","0","CHE","23CHMIL231","FUNDAMENTALS IN ORGANIC CHEMISTRY","52","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3128","0"
"739","0","ZOO","23ZOMAP231","ANIMAL DIVERSITY-II, BIOLOGY OF CHORDATES LAB","52","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"3109","0"
"740","0","ZOO","23ZOMAP232","PRINCIPLES OF GENETICS LAB","52","3","11","L","2","2024","1","NOV-2025","50","15","35","0",,"3109","0"
"741","0","ZOO","23ZOMAP233","ANIMAL BIOTECHNOLOGY LAB","52","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"3032","0"
"742","0","ZOO","23ZOMAP234","EVOLUTION AND ZOOGEOGRAPHY LAB","52","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3032","0"
"743","0","CHE","23CHMIP231","ORGANIC QUALITATIVE ANALYSIS LAB","52","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3128","0"
"744","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING","52","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"2041","0"
"745","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","52","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"3054","0"
"746","0","MAT","23MASDL202","REASONING","52","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"3054","0"
"747","0","BTH","23BTMAL231","PLANT AND ANIMAL BIOTECHNOLOGY","53","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"4068","0"
"748","0","BTH","23BTMAL232","MOLECULAR BIOLOGY","53","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"3156","0"
"749","0","BTH","23BTMAL233","GENETIC ENGINEERING","53","3","7","T","2","2024","3","NOV-2025","100","30","70","0",,"4068","0"
"750","0","BTH","23BTMAL234","METABOLISM","53","3","8","T","2","2024","3","NOV-2025","100","30","70","0",,"3156","0"
"751","0","CHE","23CHMIL231","FUNDAMENTALS IN ORGANIC CHEMISTRY","53","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"3128","0"
"752","0","BTH","23BTMAP231","PLANT AND ANIMAL BIOTECHNOLOGY LAB","53","3","10","L","2","2024","3","NOV-2025","100","30","70","0",,"4068","0"
"753","0","BTH","23BTMAP232","MOLECULAR BIOLOGY LAB","53","3","11","L","2","2024","3","NOV-2025","100","30","70","0",,"3156","0"
"754","0","BTH","23BTMAP233","GENETIC ENGINEERING LAB","53","3","12","L","2","2024","1","NOV-2025","50","15","35","0",,"4068","0"
"755","0","BTH","23BTMAP234","METABOLISM LAB","53","3","13","L","2","2024","1","NOV-2025","50","15","35","0",,"3156","0"
"756","0","CHE","23CHMIP231","ORGANIC QUALITATIVE ANALYSIS LAB","53","3","14","L","2","2024","1","NOV-2025","50","15","35","0",,"3128","0"
"757","0","MGT","23MGMDL201","PRINCIPLES OF MANAGEMENT","53","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3095","0"
"758","0","MAT","23MASDL201","QUANTITATIVE APTITUDE","53","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"759","0","MAT","23MASDL202","REASONING","53","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"2058","0"
"760","0","MAT","23MAMAL231","GROUP THEORY","61","3","5","T","2","2024","4","NOV-2025","100","30","70","0",,"5014","0"
"761","0","MAT","23MAMAL232","NUMERICAL METHODS ","61","3","6","T","2","2024","4","NOV-2025","100","30","70","0",,"2010","0"
"762","0","MAT","23MAMAL233","LAPLACE TRANSFORMS","61","3","7","T","2","2024","4","NOV-2025","100","30","70","0",,"3004","0"
"763","0","MAT","23MAMAL234","SPECIAL  FUNCTIONS","61","3","8","T","2","2024","4","NOV-2025","100","30","70","0",,"2007","0"
"764","0","CSC","23CSMIL231","OBJECT ORIENTED PROGRAMMING USING JAVA","61","3","9","T","2","2024","3","NOV-2025","100","30","70","0",,"2023","0"
"765","0","CSC","23CSMIP231","OBJECT ORIENTED PROGRAMMING USING JAVA  LAB","61","3","10","L","2","2024","1","NOV-2025","50","15","35","0",,"2023","0"
"766","0","COM","23COMDL201","PRINCIPLES OF ACCOUNTING","61","3","15","G","3","2024","2","NOV-2025","50","15","35","0",,"3100","0"
"767","0","ENG","23ENSDL201","COMMUNICATION SKILLS FOR EMPLOYABILITY-I","61","3","16","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"768","0","ENG","23ENSDL202","COMMUNICATION SKILLS FOR EMPLOYABILITY-II","61","3","17","G","3","2024","2","NOV-2025","50","15","35","0",,"5012","0"
"769","0","CHE","23CHMAL231","FUNDAMENTALS IN ORGANIC CHEMISTRY","62","3","5","T","2","2024","3","NOV-2025","100","30","70","0",,"5029","0"
"770","0","CHE","23CHMAL232","ORGANIC CHEMISTRY (HALOGEN AND OXYGEN CONTAINING ORGANIC COMPOUNDS)","62","3","6","T","2","2024","3","NOV-2025","100","30","70","0",,"2060","0"
